Time	V1	V2	V3	Pressure1	Pressure2	OGTime	Constant
14.678	0	0	0	59.84	1.55	14678	
14.703	0	0	0	59.17	1.67	14703	
14.728	0	0	0	59.65	2.15	14728	
14.753	0	0	0	59.96	2.19	14753	
14.778	0	0	0	59.24	2.07	14778	
14.802	0	1	0	59.41	1.79	14802	
14.827	0	1	0	64.37	18.02	14827	
14.852	0	1	0	21.84	11.87	14852	
14.877	0	1	0	11.25	9.96	14877	
14.902	0	1	0	9.94	10.32	14902	
14.927	0	1	0	9.99	9.96	14927	
14.952	0	1	0	9.58	9.54	14952	
14.996	0	1	0	9.23	9.42	14996	
15.002	0	1	0	9.46	9.37	15002	
15.027	0	1	0	8.94	9.01	15027	
15.052	0	1	0	9.06	8.94	15052	
15.077	0	1	0	9.23	9.25	15077	
15.102	0	1	0	9.23	9.37	15102	
15.127	0	1	0	9.58	9.54	15127	
15.152	0	1	0	9.54	9.61	15152	
15.177	0	1	0	9.18	9.37	15177	
15.202	0	1	0	9.3	9.42	15202	
15.227	0	1	0	9.65	9.65	15227	
15.252	0	1	0	9.18	9.85	15252	
15.277	0	1	0	9.54	9.65	15277	
15.302	0	1	0	9.82	9.96	15302	
15.327	0	1	0	9.54	9.54	15327	
15.352	0	1	0	9.82	9.54	15352	
15.377	0	1	0	9.46	9.85	15377	
15.402	0	1	0	9.23	9.77	15402	
15.427	0	1	0	9.18	9.37	15427	
15.452	0	1	0	9.18	9.89	15452	
15.477	0	1	0	9.35	9.49	15477	
15.502	0	1	0	9.18	9.06	15502	
15.527	0	1	0	9.18	9.49	15527	
15.552	0	1	0	9.35	9.3	15552	
